province;red;green;blue;x;x
1;0;20;240;x;x;
2;0;100;240;x;x;
3;0;40;240;x;x;
4;0;200;240;x;x;
5;0;80;240;x;x;
6;0;240;255;x;x;
7;0;140;240;x;x;
8;0;160;240;x;x;
9;0;220;255;x;x;
10;0;220;190;x;x;
11;0;180;210;x;x;
12;0;200;255;x;x;
13;0;240;190;x;x;
14;0;120;230;x;x;
15;0;60;210;x;x;
16;0;0;210;x;x;
17;0;20;210;x;x;
18;0;100;230;x;x;
19;0;40;210;x;x;
20;0;80;230;x;x;
21;0;180;255;x;x;
22;0;140;210;x;x;
23;0;160;255;x;x;
24;0;180;220;x;x;
25;0;140;255;x;x;
26;0;0;180;x;x;
27;0;120;255;x;x;
28;0;160;220;x;x;
29;0;100;255;x;x;
30;0;180;190;x;x;
31;0;80;255;x;x;
32;0;240;250;x;x;
33;0;60;230;x;x;
34;0;0;230;x;x;
35;0;20;230;x;x;
36;0;60;255;x;x;
37;0;40;230;x;x;
38;0;200;250;x;x;
39;0;160;190;x;x;
40;0;40;255;x;x;
41;0;220;200;x;x;
42;0;20;255;x;x;
43;0;240;200;x;x;
44;0;120;200;x;x;
45;0;60;200;x;x;
46;0;0;200;x;x;
47;0;20;200;x;x;
48;0;100;200;x;x;
49;0;40;200;x;x;
50;0;200;200;x;x;
51;0;240;220;x;x;
52;0;140;200;x;x;
53;0;220;220;x;x;
54;0;220;230;x;x;
55;0;180;250;x;x;
56;0;200;220;x;x;
57;0;240;230;x;x;
58;0;120;190;x;x;
59;0;100;190;x;x;
60;0;200;230;x;x;
61;0;80;190;x;x;
62;0;180;200;x;x;
63;0;140;250;x;x;
64;0;160;250;x;x;
65;0;160;200;x;x;
66;0;140;190;x;x;
67;0;120;220;x;x;
68;0;60;220;x;x;
69;0;0;220;x;x;
70;0;20;220;x;x;
71;0;100;220;x;x;
72;0;40;220;x;x;
73;0;120;250;x;x;
74;0;80;220;x;x;
75;0;100;250;x;x;
76;0;220;210;x;x;
77;0;180;230;x;x;
78;0;80;250;x;x;
79;0;240;210;x;x;
80;0;120;210;x;x;
81;0;60;190;x;x;
82;0;0;190;x;x;
83;0;20;190;x;x;
84;0;60;250;x;x;
85;0;100;210;x;x;
86;0;40;190;x;x;
87;0;200;210;x;x;
88;0;80;210;x;x;
89;0;140;230;x;x;
90;0;40;250;x;x;
91;0;0;255;x;x;
92;0;220;240;x;x;
93;0;20;250;x;x;
94;0;180;240;x;x;
95;0;240;240;x;x;
96;0;120;240;x;x;
97;0;60;240;x;x;
98;0;0;170;x;x;
99;0;0;240;x;x;
100;0;0;250;x;x;
101;98;115;51;x;x
102;73;249;205;x;x
103;217;122;244;x;x
104;123;184;230;x;x
105;38;112;12;x;x
106;250;44;79;x;x
107;61;103;8;x;x
108;11;83;85;x;x
109;210;52;250;x;x
110;145;113;212;x;x
111;236;114;1;x;x
112;242;232;194;x;x
113;198;177;33;x;x
114;225;209;205;x;x
115;158;149;202;x;x
116;79;221;16;x;x
117;29;161;236;x;x
118;70;118;168;x;x
119;67;228;206;x;x
120;214;183;154;x;x
121;236;132;170;x;x
122;81;249;195;x;x
123;209;84;112;x;x
124;24;174;109;x;x
125;54;149;126;x;x
126;132;125;172;x;x
127;64;194;179;x;x
128;14;106;191;x;x
129;153;8;157;x;x
130;117;111;56;x;x
131;198;255;127;x;x
132;25;86;79;x;x
133;109;22;178;x;x
134;55;92;88;x;x
135;179;194;51;x;x
136;170;72;254;x;x
137;23;35;139;x;x
138;164;180;179;x;x
139;245;234;141;x;x
140;222;236;193;x;x
141;29;91;237;x;x
142;30;188;211;x;x
143;248;243;68;x;x
144;175;122;247;x;x
145;23;102;216;x;x
146;0;29;176;x;x
147;219;88;228;x;x
148;97;185;99;x;x
149;103;172;188;x;x
150;160;184;136;x;x
151;213;29;28;x;x
152;220;12;201;x;x
153;97;254;186;x;x
154;143;80;90;x;x
155;101;169;55;x;x
156;49;103;191;x;x
157;107;32;38;x;x
158;81;58;2;x;x
159;121;115;7;x;x
160;105;26;124;x;x
161;86;17;188;x;x
162;55;167;182;x;x
163;185;252;251;x;x
164;120;67;100;x;x
165;193;240;104;x;x
166;44;104;96;x;x
167;64;152;25;x;x
168;59;201;41;x;x
169;209;249;255;x;x
170;130;127;233;x;x
171;185;111;203;x;x
172;226;2;19;x;x
173;225;57;124;x;x
174;150;234;49;x;x
175;109;215;20;x;x
176;182;243;77;x;x
177;202;21;213;x;x
178;14;2;60;x;x
179;125;30;47;x;x
180;91;247;118;x;x
181;37;173;212;x;x
182;208;55;20;x;x
183;48;66;252;x;x
184;239;254;247;x;x
